nr_ano,cd_sh6,sg_uf,vl_fob_uf,vl_fob_total_produto,pct_participacao
2024,020230,RO,9.07711671E8,1.0049077475E10,0.09032786076713972
2024,020230,MS,8.31437565E8,1.0049077475E10,0.0827377007559592
2024,020230,PA,6.78226085E8,1.0049077475E10,0.06749137785904073
2024,020230,TO,4.15839624E8,1.0049077475E10,0.04138087551165984
2024,020230,RS,1.08231594E8,1.0049077475E10,0.010770301479838078
2024,020230,PR,9.6471335E7,1.0049077475E10,0.009600019030602607
2024,020230,ES,2.0565088E7,1.0049077475E10,0.0020464652652108246
2024,020230,MA,1.9838142E7,1.0049077475E10,0.001974125689582267
2024,020230,AC,1.841099E7,1.0049077475E10,0.001832107479099717
2024,020230,SC,5638391.0,1.0049077475E10,5.610854343622224E-4
2024,020230,BA,5263832.0,1.0049077475E10,5.238124607055037E-4
2024,020230,PE,4269866.0,1.0049077475E10,4.249012917476786E-4
2024,020230,RJ,679371.0,1.0049077475E10,6.760531020784074E-5
2024,020230,ND,311960.0,1.0049077475E10,3.1043645625789146E-5
2024,020230,RR,265993.0,1.0049077475E10,2.6469394893385475E-5
2024,020230,AL,77262.0,1.0049077475E10,7.68846694556905E-6
2024,020230,CE,64586.0,1.0049077475E10,6.427057624013393E-6
2024,020230,AM,11830.0,1.0049077475E10,1.1772224892713348E-6
2024,020230,AP,5810.0,1.0049077475E10,5.78162524316691E-7
2024,020311,AC,403989.0,578227.0,0.6986685159980422
2024,020311,ES,68926.0,578227.0,0.11920232019604757
2024,020311,SP,46997.0,578227.0,0.08127776807378417
2024,020311,SC,19959.0,578227.0,0.03451758565407703
2024,020311,MA,18884.0,578227.0,0.03265845420570122
2024,020311,RS,6956.0,578227.0,0.012029877539443852
2024,020311,PR,6229.0,578227.0,0.010772585852960861
2024,020311,RJ,5865.0,578227.0,0.010143075297417797
2024,020311,PE,271.0,578227.0,4.686740674510184E-4
2024,020311,CE,151.0,578227.0,2.6114311507418367E-4
2024,020312,RJ,73512.0,140320.0,0.5238882554161916
2024,020312,SP,20501.0,140320.0,0.14610176738882555
2024,020312,MA,12405.0,140320.0,0.08840507411630559
2024,020312,ES,10368.0,140320.0,0.07388825541619157
2024,020312,BA,6600.0,140320.0,0.04703534777651083
2024,020312,PA,5687.0,140320.0,0.0405287913340935
2024,020312,PE,4344.0,140320.0,0.03095781071835804
2024,020312,SC,3170.0,140320.0,0.02259122006841505
2024,020312,PR,1783.0,140320.0,0.01270667046750285
2024,020312,CE,1279.0,140320.0,0.009114880273660204
2024,020312,RS,671.0,140320.0,0.004781927023945268
2024,020319,SC,1.0560555E7,1.6457521E7,0.6416856463376228
2024,020319,PR,4410509.0,1.6457521E7,0.2679935210169259
2024,020319,AC,559779.0,1.6457521E7,0.03401356741395013
2024,020319,RS,433459.0,1.6457521E7,0.026338049333189367
2024,020319,MA,150693.0,1.6457521E7,0.009156482315896787
2024,020319,SP,77671.0,1.6457521E7,0.004719483572282849
2024,020319,RJ,65454.0,1.6457521E7,0.003977148198686789
2024,020319,MG,64849.0,1.6457521E7,0.003940386890589415
2024,020319,PA,62615.0,1.6457521E7,0.003804643481846385
2024,020319,ES,23010.0,1.6457521E7,0.0013981449575546645
2024,020319,CE,18254.0,1.6457521E7,0.0011091585421644
2024,020319,PE,10546.0,1.6457521E7,6.408012482560405E-4
2024,020319,AP,10228.0,1.6457521E7,6.214787755701481E-4
2024,020319,AM,8085.0,1.6457521E7,4.912647536649049E-4
2024,020319,BA,1814.0,1.6457521E7,1.1022316179939859E-4
2024,020321,MG,4715515.0,9839975.0,0.47922022159609146
2024,020321,RS,2645092.0,9839975.0,0.26881084555601004
2024,020321,PR,2405069.0,9839975.0,0.244418202282018
2024,020321,PA,18468.0,9839975.0,0.001876834036671841
2024,020321,AC,10641.0,9839975.0,0.001081405186496917
2024,020321,ES,9476.0,9839975.0,9.630105767545141E-4
2024,020321,AM,7498.0,9839975.0,7.619938058785719E-4
2024,020321,SC,6229.0,9839975.0,6.330300635926413E-4
2024,020321,BA,5934.0,9839975.0,6.030503126278268E-4
2024,020321,SP,5701.0,9839975.0,5.793713906793463E-4
2024,020321,MA,4722.0,9839975.0,4.7987926798594507E-4
2024,020321,AP,3606.0,9839975.0,3.664643456919352E-4
2024,020321,RJ,2024.0,9839975.0,2.0569157950096418E-4
2024,020322,SC,6.5165524E7,9.4009761E7,0.6931782753920628
2024,020322,RS,1.0520333E7,9.4009761E7,0.1119068157188486
2024,020322,PR,9240123.0,9.4009761E7,0.0982889744821285
2024,020322,SP,3815012.0,9.4009761E7,0.040581020092158304
2024,020322,MT,2402978.0,9.4009761E7,0.025560941485639987
2024,020322,MG,1271162.0,9.4009761E7,0.013521595911726655
2024,020322,GO,896681.0,9.4009761E7,0.00953816912692715
2024,020322,AC,450354.0,9.4009761E7,0.004790502552176471
2024,020322,MS,136940.0,9.4009761E7,0.001456657250729528
2024,020322,ES,47971.0,9.4009761E7,5.102767998740045E-4
2024,020322,BA,15163.0,9.4009761E7,1.6129176203309357E-4
2024,020322,MA,14118.0,9.4009761E7,1.5017589503285727E-4
2024,020322,RJ,10575.0,9.4009761E7,1.1248831916507052E-4
2024,020322,AL,9030.0,9.4009761E7,9.605385551400348E-5
2024,020322,CE,7500.0,9.4009761E7,7.977894976246137E-5
2024,020322,PA,3998.0,9.4009761E7,4.252749882004274E-5
2024,020322,AP,1905.0,9.4009761E7,2.0263853239665186E-5
2024,020322,PE,297.0,9.4009761E7,3.15924641059347E-6
2024,020322,AM,97.0,9.4009761E7,1.0318077502611671E-6
2024,020329,SC,1.523631835E9,2.709432482E9,0.5623435332388549
2024,020329,RS,5.86762826E8,2.709432482E9,0.2165629997787854
2024,020329,PR,3.88423919E8,2.709432482E9,0.14335988129635185
2024,020329,MT,6.4763967E7,2.709432482E9,0.02390314851182182
2024,020329,MG,4.9189376E7,2.709432482E9,0.018154863177727267
2024,020329,MS,4.3045985E7,2.709432482E9,0.01588745439717512
2024,020329,GO,2.3892665E7,2.709432482E9,0.008818328250927052
2024,020329,AC,1.5943809E7,2.709432482E9,0.005884556675954105
2024,020329,SP,1.2575172E7,2.709432482E9,0.004641256825384144
2024,020329,RJ,367814.0,2.709432482E9,1.357531521614053E-4
2024,020329,ES,272333.0,2.709432482E9,1.0051293095850617E-4
2024,020329,MA,212310.0,2.709432482E9,7.835958320071546E-5
2024,020329,BA,87786.0,2.709432482E9,3.24001430495879E-5
2024,020329,PA,77522.0,2.709432482E9,2.8611895854579925E-5
2024,020329,CE,55206.0,2.709432482E9,2.037548466948659E-5
2024,020329,AL,52848.0,2.709432482E9,1.950519171490467E-5
2024,020329,AM,41557.0,2.709432482E9,1.5337898351806944E-5
2024,020329,PE,18428.0,2.709432482E9,6.801424328683456E-6
2024,020329,AP,17124.0,2.709432482E9,6.320142728694134E-6
2024,020410,SP,27334.0,67917.0,0.40246182840820416
2024,020410,PR,6443.0,67917.0,0.09486579206973217
2024,020410,PA,5841.0,67917.0,0.08600203189186802
2024,020410,RJ,4903.0,67917.0,0.07219105673100991
2024,020410,RS,4777.0,67917.0,0.07033585111238717
2024,020410,AL,4492.0,67917.0,0.06613955268931196
2024,020410,MA,4185.0,67917.0,0.061619329475683556
2024,020410,AM,4041.0,67917.0,0.05949909448297186
2024,020410,SC,2837.0,67917.0,0.04177157412724355
